================================================================================
  华中杯 A 题 - 城市绿色物流配送调度 - ALNS迭代日志
================================================================================
生成时间: 2026-04-25 00:57:46
停止轮次: 600
是否收敛: False
严格车队约束: True
================================================================================

【迭代历史】
--------------------------------------------------------------------------------
      迭代 |         最佳成本 |         当前成本 |    车辆数 |       温度 |       破坏算子
      37 |     96080.46 |     97203.23 |    145 |   388.28 |     random
      38 |     96080.46 |     97171.63 |    146 |   385.56 |      worst
      39 |     96080.46 |     97171.63 |    146 |   382.86 |     random
      40 |     96080.46 |     97158.22 |    146 |   380.18 |    related
      41 |     96080.46 |     97395.03 |    146 |   377.52 |      worst
      42 |     96080.46 |     97627.25 |    146 |   374.88 |    related
      43 |     96080.46 |     97623.69 |    146 |   372.25 |      worst
      44 |     96080.46 |     96623.14 |    146 |   369.65 |      worst
      45 |     96080.46 |     97489.90 |    146 |   367.06 |     random
      46 |     96080.46 |     97102.12 |    145 |   364.49 |     random
      47 |     96080.46 |     97102.12 |    145 |   361.94 |     random
      48 |     96080.46 |     97099.10 |    145 |   359.41 |      worst
      49 |     96080.46 |     96837.40 |    145 |   356.89 |      worst
      50 |     96080.46 |     96837.21 |    145 |   354.39 |      worst
      51 |     96080.46 |     96837.21 |    145 |   351.91 |      worst
      52 |     96080.46 |     96917.95 |    145 |   349.45 |      worst
      53 |     96080.46 |     96917.95 |    145 |   347.00 |     random
      54 |     96080.46 |     96977.98 |    145 |   344.57 |    related
      55 |     96080.46 |     96791.66 |    145 |   342.16 |     random
      56 |     96080.46 |     96791.66 |    145 |   339.77 |    related
      57 |     96080.46 |     96994.26 |    145 |   337.39 |      worst
      58 |     95987.19 |     95987.19 |    145 |   335.02 |      worst
      59 |     95987.19 |     95987.19 |    145 |   332.68 |    related
      60 |     95978.51 |     95978.51 |    145 |   330.35 |      worst
      61 |     95978.51 |     95978.51 |    145 |   328.04 |     random
      62 |     95978.51 |     95978.51 |    145 |   325.74 |     random
      63 |     95978.51 |     95978.52 |    145 |   323.46 |      worst
      64 |     95922.44 |     95922.44 |    145 |   321.20 |      worst
      65 |     95922.44 |     95922.44 |    145 |   318.95 |      worst
      66 |     95775.84 |     95775.84 |    145 |   316.72 |      worst
      67 |     95775.84 |     95775.84 |    145 |   314.50 |     random
      68 |     95749.82 |     95749.82 |    145 |   312.30 |      worst
      69 |     95626.39 |     95626.39 |    145 |   310.11 |      worst
      70 |     95626.39 |     95626.39 |    145 |   307.94 |     random
      71 |     95626.39 |     95626.39 |    145 |   305.79 |      worst
      72 |     95626.39 |     95626.39 |    145 |   303.65 |     random
      73 |     95626.39 |     95831.66 |    145 |   301.52 |      worst
      74 |     95563.17 |     95563.17 |    145 |   299.41 |      worst
      75 |     95563.17 |     95563.17 |    145 |   297.31 |      worst
      76 |     95563.17 |     95563.17 |    145 |   295.23 |      worst
      77 |     95480.02 |     95480.02 |    145 |   293.17 |      worst
      78 |     95480.02 |     95485.77 |    145 |   291.11 |      worst
      79 |     95480.02 |     95480.02 |    145 |   289.08 |      worst
      80 |     95480.02 |     95480.02 |    145 |   287.05 |    related
      81 |     95478.21 |     95478.21 |    145 |   285.04 |      worst
      82 |     95325.42 |     95325.42 |    145 |   283.05 |      worst
      83 |     95325.42 |     95325.42 |    145 |   281.07 |      worst
      84 |     95325.42 |     95325.42 |    145 |   279.10 |      worst
      85 |     95323.48 |     95323.48 |    145 |   277.14 |      worst
      86 |     95323.48 |     95323.48 |    145 |   275.20 |      worst
      87 |     95323.48 |     95323.48 |    145 |   273.28 |     random
      88 |     95323.48 |     95323.48 |    145 |   271.37 |      worst
      89 |     95323.48 |     95323.48 |    145 |   269.47 |      worst
      90 |     95323.48 |     95323.48 |    145 |   267.58 |    related
      91 |     95323.48 |     95323.48 |    145 |   265.71 |      worst
      92 |     95323.48 |     95323.48 |    145 |   263.85 |      worst
      93 |     95323.48 |     95323.48 |    145 |   262.00 |      worst
      94 |     95323.48 |     95323.48 |    145 |   260.17 |      worst
      95 |     95323.48 |     95323.48 |    145 |   258.34 |    related
      96 |     95323.48 |     95323.48 |    145 |   256.54 |     random
      97 |     95162.27 |     95162.27 |    145 |   254.74 |      worst
      98 |     95162.27 |     95162.27 |    145 |   252.96 |      worst
      99 |     95162.27 |     95162.27 |    145 |   251.19 |      worst
     100 |     95055.99 |     95055.99 |    145 |   249.43 |      worst
     101 |     95055.99 |     95055.99 |    145 |   247.68 |      worst
     102 |     95055.99 |     95445.17 |    145 |   245.95 |      worst
     103 |     95055.99 |     95445.17 |    145 |   244.23 |      worst
     104 |     95055.99 |     95445.17 |    145 |   242.52 |      worst
     105 |     95055.99 |     95445.17 |    145 |   240.82 |     random
     106 |     95055.99 |     95445.17 |    145 |   239.13 |    related
     107 |     95055.99 |     95386.57 |    145 |   237.46 |      worst
     108 |     95055.99 |     95386.57 |    145 |   235.80 |      worst
     109 |     95055.99 |     95386.57 |    145 |   234.15 |      worst
     110 |     95055.99 |     95386.57 |    145 |   232.51 |    related
     111 |     95055.99 |     95386.57 |    145 |   230.88 |      worst
     112 |     95055.99 |     95263.75 |    145 |   229.26 |      worst
     113 |     95055.99 |     95263.75 |    145 |   227.66 |      worst
     114 |     95055.99 |     95263.75 |    145 |   226.07 |      worst
     115 |     95055.99 |     95263.75 |    145 |   224.48 |     random
     116 |     95055.99 |     95263.75 |    145 |   222.91 |      worst
     117 |     95055.99 |     95263.75 |    145 |   221.35 |      worst
     118 |     95055.99 |     95178.54 |    145 |   219.80 |      worst
     119 |     95055.99 |     95178.54 |    145 |   218.26 |      worst
     120 |     95055.99 |     95253.00 |    145 |   216.74 |      worst
     121 |     95055.99 |     95253.00 |    145 |   215.22 |      worst
     122 |     95055.99 |     95253.00 |    145 |   213.71 |      worst
     123 |     95055.99 |     95195.79 |    145 |   212.22 |      worst
     124 |     95055.99 |     95195.79 |    145 |   210.73 |      worst
     125 |     95055.99 |     95195.79 |    145 |   209.26 |      worst
     126 |     95055.99 |     95195.79 |    145 |   207.79 |      worst
     127 |     95055.99 |     95195.79 |    145 |   206.34 |     random
     128 |     95055.99 |     95195.79 |    145 |   204.89 |      worst
     129 |     95055.99 |     95655.85 |    145 |   203.46 |      worst
     130 |     95055.99 |     95491.95 |    145 |   202.03 |      worst
     131 |     95055.99 |     95491.95 |    145 |   200.62 |     random
     132 |     95055.99 |     95504.13 |    145 |   199.21 |      worst
     133 |     95055.99 |     95504.13 |    145 |   197.82 |     random
     134 |     95055.99 |     95504.13 |    145 |   196.44 |      worst
     135 |     95055.99 |     95240.65 |    145 |   195.06 |      worst
     136 |     95055.99 |     95240.65 |    145 |   193.70 |    related
     137 |     95055.99 |     95240.65 |    145 |   192.34 |      worst
     138 |     95055.99 |     95240.65 |    145 |   190.99 |      worst
     139 |     95055.99 |     95240.65 |    145 |   189.66 |     random
     140 |     95055.99 |     95240.65 |    145 |   188.33 |     random
     141 |     95055.99 |     95240.65 |    145 |   187.01 |      worst
     142 |     95055.99 |     95240.65 |    145 |   185.70 |      worst
     143 |     95055.99 |     95240.65 |    145 |   184.40 |      worst
     144 |     95055.99 |     95240.65 |    145 |   183.11 |      worst
     145 |     95055.99 |     95240.65 |    145 |   181.83 |      worst
     146 |     94981.24 |     94981.24 |    144 |   180.56 |      worst
     147 |     94981.24 |     94981.24 |    144 |   179.29 |      worst
     148 |     94981.24 |     94981.24 |    144 |   178.04 |      worst
     149 |     94981.24 |     94981.24 |    144 |   176.79 |      worst
     150 |     94981.24 |     94981.24 |    144 |   175.55 |      worst
     151 |     94981.24 |     94981.24 |    144 |   174.32 |      worst
     152 |     94981.24 |     94981.24 |    144 |   173.10 |      worst
     153 |     94981.24 |     94981.24 |    144 |   171.89 |      worst
     154 |     94981.24 |     94981.24 |    144 |   170.69 |      worst
     155 |     94981.24 |     94981.24 |    144 |   169.49 |      worst
     156 |     94981.24 |     94981.24 |    144 |   168.31 |      worst
     157 |     94981.24 |     94981.24 |    144 |   167.13 |      worst
     158 |     94981.24 |     94981.24 |    144 |   165.96 |    related
     159 |     94931.17 |     94931.17 |    144 |   164.80 |      worst
     160 |     94931.17 |     94931.17 |    144 |   163.64 |     random
     161 |     94931.17 |     94931.17 |    144 |   162.50 |      worst
     162 |     94931.17 |     94931.17 |    144 |   161.36 |      worst
     163 |     94931.17 |     94931.17 |    144 |   160.23 |      worst
     164 |     94931.17 |     94931.17 |    144 |   159.11 |      worst
     165 |     94931.17 |     94931.17 |    144 |   158.00 |    related
     166 |     94931.17 |     94931.17 |    144 |   156.89 |      worst
     167 |     94923.35 |     94923.35 |    144 |   155.79 |      worst
     168 |     94923.35 |     94923.35 |    144 |   154.70 |      worst
     169 |     94923.35 |     94923.35 |    144 |   153.62 |     random
     170 |     94923.35 |     94923.35 |    144 |   152.54 |      worst
     171 |     94923.35 |     94923.35 |    144 |   151.48 |      worst
     172 |     94923.35 |     94923.35 |    144 |   150.42 |      worst
     173 |     94923.35 |     94923.35 |    144 |   149.36 |      worst
     174 |     94923.35 |     94923.35 |    144 |   148.32 |     random
     175 |     94923.35 |     94923.35 |    144 |   147.28 |      worst
     176 |     94923.35 |     94923.35 |    144 |   146.25 |      worst
     177 |     94889.88 |     94889.88 |    144 |   145.22 |      worst
     178 |     94889.88 |     94889.88 |    144 |   144.21 |      worst
     179 |     94889.88 |     94889.88 |    144 |   143.20 |      worst
     180 |     94889.88 |     95007.43 |    144 |   142.20 |      worst
     181 |     94889.88 |     95067.20 |    144 |   141.20 |    related
     182 |     94889.88 |     95067.20 |    144 |   140.21 |    related
     183 |     94889.88 |     94997.11 |    144 |   139.23 |      worst
     184 |     94889.88 |     95001.67 |    144 |   138.26 |      worst
     185 |     94889.88 |     95001.67 |    144 |   137.29 |      worst
     186 |     94889.88 |     95001.67 |    144 |   136.33 |     random
     187 |     94867.12 |     94867.12 |    144 |   135.37 |      worst
     188 |     94867.12 |     94867.12 |    144 |   134.42 |    related
     189 |     94867.12 |     94867.12 |    144 |   133.48 |     random
     190 |     94867.12 |     94867.12 |    144 |   132.55 |      worst
     191 |     94867.12 |     94918.37 |    144 |   131.62 |      worst
     192 |     94867.12 |     94878.76 |    144 |   130.70 |      worst
     193 |     94772.23 |     94772.23 |    144 |   129.79 |      worst
     194 |     94772.23 |     94772.23 |    144 |   128.88 |    related
     195 |     94772.23 |     94772.23 |    144 |   127.97 |      worst
     196 |     94772.23 |     94772.23 |    144 |   127.08 |    related
     197 |     94772.23 |     94778.45 |    144 |   126.19 |      worst
     198 |     94663.47 |     94663.47 |    144 |   125.31 |      worst
     199 |     94663.47 |     94663.47 |    144 |   124.43 |     random
     200 |     94580.36 |     94580.36 |    144 |   123.56 |      worst
     201 |     94580.36 |     94580.36 |    144 |   122.69 |      worst
     202 |     94580.36 |     94580.36 |    144 |   121.83 |      worst
     203 |     94580.36 |     94580.36 |    144 |   120.98 |    related
     204 |     94580.36 |     94625.85 |    144 |   120.13 |      worst
     205 |     94580.36 |     94889.27 |    144 |   119.29 |      worst
     206 |     94580.36 |     94889.27 |    144 |   118.46 |    related
     207 |     94580.36 |     94889.27 |    144 |   117.63 |     random
     208 |     94580.36 |     94796.11 |    144 |   116.81 |      worst
     209 |     94580.36 |     94796.11 |    144 |   115.99 |      worst
     210 |     94580.36 |     94760.85 |    144 |   115.18 |      worst
     211 |     94580.36 |     94760.85 |    144 |   114.37 |      worst
     212 |     94580.36 |     94736.26 |    144 |   113.57 |      worst
     213 |     94580.36 |     94736.26 |    144 |   112.77 |      worst
     214 |     94580.36 |     94736.26 |    144 |   111.99 |      worst
     215 |     94580.36 |     94736.26 |    144 |   111.20 |      worst
     216 |     94580.36 |     94736.26 |    144 |   110.42 |      worst
     217 |     94580.36 |     94736.26 |    144 |   109.65 |     random
     218 |     94580.36 |     94736.26 |    144 |   108.88 |     random
     219 |     94580.36 |     94690.59 |    144 |   108.12 |      worst
     220 |     94580.36 |     94690.59 |    144 |   107.36 |      worst
     221 |     94580.36 |     94690.59 |    144 |   106.61 |      worst
     222 |     94580.36 |     94662.46 |    144 |   105.87 |      worst
     223 |     94580.36 |     94662.46 |    144 |   105.12 |      worst
     224 |     94580.36 |     94662.46 |    144 |   104.39 |      worst
     225 |     94580.36 |     94662.46 |    144 |   103.66 |      worst
     226 |     94580.36 |     94671.96 |    144 |   102.93 |      worst
     227 |     94580.36 |     94671.96 |    144 |   102.21 |    related
     228 |     94580.36 |     94650.11 |    144 |   101.50 |      worst
     229 |     94580.36 |     94650.11 |    144 |   100.79 |      worst
     230 |     94563.81 |     94563.81 |    144 |   100.08 |    related
     231 |     94563.81 |     94599.62 |    144 |    99.38 |      worst
     232 |     94563.81 |     94599.62 |    144 |    98.68 |      worst
     233 |     94563.81 |     94599.62 |    144 |    97.99 |     random
     234 |     94563.81 |     94698.24 |    144 |    97.31 |      worst
     235 |     94563.81 |     94698.24 |    144 |    96.63 |      worst
     236 |     94563.81 |     94698.24 |    144 |    95.95 |    related
     237 |     94563.81 |     94698.24 |    144 |    95.28 |      worst
     238 |     94563.81 |     94698.24 |    144 |    94.61 |    related
     239 |     94563.81 |     94698.24 |    144 |    93.95 |      worst
     240 |     94563.81 |     94698.24 |    144 |    93.29 |    related
     241 |     94563.81 |     94646.74 |    144 |    92.64 |      worst
     242 |     94563.81 |     94646.74 |    144 |    91.99 |     random
     243 |     94563.81 |     94646.74 |    144 |    91.35 |      worst
     244 |     94552.03 |     94552.03 |    144 |    90.71 |      worst
     245 |     94516.09 |     94516.09 |    144 |    90.07 |      worst
     246 |     94516.09 |     94516.09 |    144 |    89.44 |      worst
     247 |     94516.09 |     94516.09 |    144 |    88.81 |      worst
     248 |     94516.09 |     94516.09 |    144 |    88.19 |      worst
     249 |     94305.65 |     94305.65 |    144 |    87.58 |      worst
     250 |     94305.65 |     94305.65 |    144 |    86.96 |    related
     251 |     94305.65 |     94305.65 |    144 |    86.35 |      worst
     252 |     94305.65 |     94305.65 |    144 |    85.75 |      worst
     253 |     94305.65 |     94305.65 |    144 |    85.15 |    related
     254 |     94305.65 |     94305.65 |    144 |    84.55 |      worst
     255 |     94305.65 |     94305.65 |    144 |    83.96 |      worst
     256 |     94305.65 |     94305.65 |    144 |    83.37 |      worst
     257 |     94305.65 |     94305.65 |    144 |    82.79 |    related
     258 |     94305.65 |     94305.65 |    144 |    82.21 |      worst
     259 |     94305.65 |     94305.65 |    144 |    81.63 |    related
     260 |     94301.15 |     94301.15 |    144 |    81.06 |      worst
     261 |     94210.05 |     94210.05 |    144 |    80.50 |      worst
     262 |     94202.50 |     94202.50 |    144 |    79.93 |      worst
     263 |     94202.50 |     94202.50 |    144 |    79.37 |      worst
     264 |     94201.65 |     94201.65 |    144 |    78.82 |      worst
     265 |     94201.65 |     94201.65 |    144 |    78.27 |    related
     266 |     94200.82 |     94200.82 |    144 |    77.72 |      worst
     267 |     94200.82 |     94202.49 |    144 |    77.17 |      worst
     268 |     94149.71 |     94149.71 |    144 |    76.63 |      worst
     269 |     94149.71 |     94149.71 |    144 |    76.10 |      worst
     270 |     94149.71 |     94149.71 |    144 |    75.56 |      worst
     271 |     94149.71 |     94149.71 |    144 |    75.04 |      worst
     272 |     94149.71 |     94166.52 |    144 |    74.51 |      worst
     273 |     94149.71 |     94166.52 |    144 |    73.99 |      worst
     274 |     94149.71 |     94166.52 |    144 |    73.47 |      worst
     275 |     94149.71 |     94166.52 |    144 |    72.96 |      worst
     276 |     94149.71 |     94166.52 |    144 |    72.45 |      worst
     277 |     94149.71 |     94166.52 |    144 |    71.94 |      worst
     278 |     94149.71 |     94166.52 |    144 |    71.44 |    related
     279 |     94149.71 |     94166.52 |    144 |    70.94 |      worst
     280 |     94149.71 |     94166.52 |    144 |    70.44 |      worst
     281 |     94149.71 |     94166.52 |    144 |    69.95 |      worst
     282 |     94149.71 |     94166.52 |    144 |    69.46 |    related
     283 |     94149.71 |     94166.52 |    144 |    68.97 |      worst
     284 |     94149.71 |     94214.26 |    144 |    68.49 |      worst
     285 |     94149.71 |     94216.81 |    144 |    68.01 |      worst
     286 |     94071.30 |     94071.30 |    144 |    67.53 |      worst
     287 |     94071.30 |     94126.68 |    144 |    67.06 |      worst
     288 |     94071.30 |     94126.68 |    144 |    66.59 |      worst
     289 |     94071.30 |     94146.56 |    144 |    66.12 |      worst
     290 |     94071.30 |     94146.56 |    144 |    65.66 |      worst
     291 |     94071.30 |     94071.30 |    144 |    65.20 |      worst
     292 |     94071.30 |     94071.30 |    144 |    64.74 |      worst
     293 |     94071.30 |     94071.30 |    144 |    64.29 |      worst
     294 |     94071.30 |     94071.30 |    144 |    63.84 |      worst
     295 |     94071.30 |     94071.30 |    144 |    63.39 |      worst
     296 |     94071.30 |     94071.30 |    144 |    62.95 |      worst
     297 |     94071.30 |     94071.30 |    144 |    62.51 |      worst
     298 |     94071.30 |     94071.30 |    144 |    62.07 |      worst
     299 |     94071.30 |     94071.30 |    144 |    61.64 |    related
     300 |     94071.30 |     94126.67 |    144 |    61.21 |      worst
     301 |     94071.30 |     94154.20 |    144 |    60.78 |      worst
     302 |     94071.30 |     94108.74 |    144 |    60.35 |      worst
     303 |     94071.30 |     94108.74 |    144 |    59.93 |     random
     304 |     94071.30 |     94171.33 |    144 |    59.51 |      worst
     305 |     94071.30 |     94171.33 |    144 |    59.09 |     random
     306 |     94071.30 |     94096.89 |    144 |    58.68 |      worst
     307 |     94071.30 |     94138.11 |    144 |    58.27 |      worst
     308 |     94056.06 |     94056.06 |    144 |    57.86 |    related
     309 |     94056.06 |     94056.06 |    144 |    57.46 |    related
     310 |     94056.06 |     94056.06 |    144 |    57.05 |      worst
     311 |     94056.06 |     94056.06 |    144 |    56.65 |      worst
     312 |     94056.06 |     94056.06 |    144 |    56.26 |     random
     313 |     94056.06 |     94056.06 |    144 |    55.86 |      worst
     314 |     94056.06 |     94079.67 |    144 |    55.47 |      worst
     315 |     94056.06 |     94153.77 |    144 |    55.09 |      worst
     316 |     94056.06 |     94153.77 |    144 |    54.70 |    related
     317 |     94056.06 |     94153.77 |    144 |    54.32 |      worst
     318 |     94056.06 |     94067.41 |    144 |    53.94 |      worst
     319 |     94056.06 |     94076.84 |    144 |    53.56 |      worst
     320 |     94056.06 |     94076.84 |    144 |    53.18 |      worst
     321 |     94056.06 |     94079.34 |    144 |    52.81 |      worst
     322 |     94056.06 |     94079.34 |    144 |    52.44 |      worst
     323 |     94056.06 |     94079.34 |    144 |    52.07 |     random
     324 |     94056.06 |     94079.56 |    144 |    51.71 |      worst
     325 |     94056.06 |     94077.67 |    144 |    51.35 |      worst
     326 |     94056.06 |     94077.67 |    144 |    50.99 |      worst
     327 |     94046.88 |     94046.88 |    144 |    50.63 |      worst
     328 |     94046.88 |     94054.67 |    144 |    50.28 |      worst
     329 |     94046.88 |     94128.73 |    144 |    49.93 |      worst
     330 |     94046.88 |     94128.73 |    144 |    49.58 |    related
     331 |     94046.88 |     94128.73 |    144 |    49.23 |    related
     332 |     94046.88 |     94128.73 |    144 |    48.88 |    related
     333 |     94046.88 |     94128.73 |    144 |    48.54 |      worst
     334 |     94046.88 |     94049.54 |    144 |    48.20 |      worst
     335 |     94046.88 |     94049.54 |    144 |    47.87 |    related
     336 |     94046.88 |     94049.54 |    144 |    47.53 |      worst
     337 |     94046.88 |     94049.54 |    144 |    47.20 |    related
     338 |     94046.88 |     94049.54 |    144 |    46.87 |      worst
     339 |     93994.91 |     93994.91 |    144 |    46.54 |      worst
     340 |     93994.91 |     93994.91 |    144 |    46.21 |    related
     341 |     93994.91 |     93994.91 |    144 |    45.89 |     random
     342 |     93994.91 |     93994.91 |    144 |    45.57 |      worst
     343 |     93994.91 |     93994.91 |    144 |    45.25 |      worst
     344 |     93994.91 |     93994.91 |    144 |    44.93 |    related
     345 |     93994.91 |     93994.91 |    144 |    44.62 |    related
     346 |     93994.91 |     93994.91 |    144 |    44.31 |      worst
     347 |     93994.91 |     93994.91 |    144 |    44.00 |      worst
     348 |     93994.91 |     93994.91 |    144 |    43.69 |      worst
     349 |     93994.91 |     93994.91 |    144 |    43.38 |      worst
     350 |     93994.91 |     93994.91 |    144 |    43.08 |    related
     351 |     93994.91 |     93994.91 |    144 |    42.78 |      worst
     352 |     93994.91 |     94042.81 |    144 |    42.48 |      worst
     353 |     93994.91 |     94042.81 |    144 |    42.18 |      worst
     354 |     93994.91 |     94042.81 |    144 |    41.88 |    related
     355 |     93994.91 |     94042.81 |    144 |    41.59 |      worst
     356 |     93994.91 |     93994.91 |    144 |    41.30 |      worst
     357 |     93994.91 |     93994.91 |    144 |    41.01 |    related
     358 |     93994.91 |     93994.91 |    144 |    40.72 |    related
     359 |     93994.91 |     93994.91 |    144 |    40.44 |      worst
     360 |     93994.91 |     93994.91 |    144 |    40.16 |      worst
     361 |     93994.91 |     93994.91 |    144 |    39.87 |      worst
     362 |     93994.91 |     93994.91 |    144 |    39.60 |      worst
     363 |     93994.91 |     93994.91 |    144 |    39.32 |      worst
     364 |     93994.91 |     93994.91 |    144 |    39.04 |      worst
     365 |     93994.91 |     93994.91 |    144 |    38.77 |      worst
     366 |     93994.91 |     93994.91 |    144 |    38.50 |      worst
     367 |     93994.91 |     93994.91 |    144 |    38.23 |    related
     368 |     93994.91 |     93994.91 |    144 |    37.96 |      worst
     369 |     93994.91 |     93994.91 |    144 |    37.70 |      worst
     370 |     93994.91 |     93994.91 |    144 |    37.43 |      worst
     371 |     93994.91 |     93994.91 |    144 |    37.17 |      worst
     372 |     93994.91 |     93994.91 |    144 |    36.91 |      worst
     373 |     93994.91 |     93994.91 |    144 |    36.65 |    related
     374 |     93994.91 |     93994.91 |    144 |    36.39 |      worst
     375 |     93994.91 |     93994.91 |    144 |    36.14 |     random
     376 |     93994.91 |     93994.91 |    144 |    35.89 |      worst
     377 |     93994.91 |     93994.91 |    144 |    35.64 |      worst
     378 |     93994.91 |     93994.91 |    144 |    35.39 |    related
     379 |     93994.91 |     93994.91 |    144 |    35.14 |      worst
     380 |     93994.91 |     93994.91 |    144 |    34.89 |      worst
     381 |     93994.91 |     93994.91 |    144 |    34.65 |    related
     382 |     93994.91 |     93994.90 |    144 |    34.41 |      worst
     383 |     93994.91 |     93994.90 |    144 |    34.17 |    related
     384 |     93994.91 |     93994.90 |    144 |    33.93 |      worst
     385 |     93994.91 |     93994.91 |    144 |    33.69 |      worst
     386 |     93994.91 |     93994.91 |    144 |    33.45 |      worst
     387 |     93994.91 |     93994.91 |    144 |    33.22 |      worst
     388 |     93994.91 |     93994.91 |    144 |    32.99 |      worst
     389 |     93994.91 |     93994.91 |    144 |    32.76 |      worst
     390 |     93994.91 |     93994.91 |    144 |    32.53 |      worst
     391 |     93994.91 |     93994.91 |    144 |    32.30 |      worst
     392 |     93994.91 |     93994.91 |    144 |    32.07 |      worst
     393 |     93994.91 |     93994.91 |    144 |    31.85 |    related
     394 |     93994.91 |     93994.91 |    144 |    31.62 |      worst
     395 |     93994.91 |     93994.91 |    144 |    31.40 |      worst
     396 |     93994.91 |     93994.91 |    144 |    31.18 |      worst
     397 |     93994.91 |     93994.91 |    144 |    30.97 |      worst
     398 |     93994.91 |     93994.91 |    144 |    30.75 |    related
     399 |     93994.91 |     93994.91 |    144 |    30.53 |     random
     400 |     93994.91 |     93994.91 |    144 |    30.32 |      worst
     401 |     93994.91 |     93994.91 |    144 |    30.11 |    related
     402 |     93994.91 |     93994.91 |    144 |    29.90 |      worst
     403 |     93994.91 |     93994.91 |    144 |    29.69 |     random
     404 |     93994.91 |     93994.91 |    144 |    29.48 |    related
     405 |     93994.91 |     93994.91 |    144 |    29.27 |      worst
     406 |     93994.91 |     93994.91 |    144 |    29.07 |     random
     407 |     93994.91 |     93994.91 |    144 |    28.86 |    related
     408 |     93994.91 |     93994.91 |    144 |    28.66 |      worst
     409 |     93994.91 |     93994.91 |    144 |    28.46 |      worst
     410 |     93994.91 |     93994.91 |    144 |    28.26 |     random
     411 |     93994.91 |     93994.91 |    144 |    28.06 |    related
     412 |     93994.91 |     93998.14 |    144 |    27.87 |      worst
     413 |     93994.91 |     93998.14 |    144 |    27.67 |     random
     414 |     93994.91 |     93998.14 |    144 |    27.48 |      worst
     415 |     93994.91 |     93998.14 |    144 |    27.29 |      worst
     416 |     93994.91 |     93998.14 |    144 |    27.10 |     random
     417 |     93994.91 |     93998.14 |    144 |    26.91 |      worst
     418 |     93994.91 |     93998.14 |    144 |    26.72 |      worst
     419 |     93994.91 |     94023.12 |    144 |    26.53 |      worst
     420 |     93994.91 |     94023.12 |    144 |    26.35 |      worst
     421 |     93994.91 |     94023.12 |    144 |    26.16 |      worst
     422 |     93994.91 |     94023.12 |    144 |    25.98 |      worst
     423 |     93994.91 |     94023.12 |    144 |    25.80 |      worst
     424 |     93994.91 |     94023.12 |    144 |    25.62 |     random
     425 |     93994.91 |     94023.12 |    144 |    25.44 |      worst
     426 |     93994.91 |     94023.12 |    144 |    25.26 |      worst
     427 |     93994.91 |     94023.12 |    144 |    25.08 |    related
     428 |     93994.91 |     94023.12 |    144 |    24.91 |      worst
     429 |     93994.91 |     94023.12 |    144 |    24.73 |     random
     430 |     93994.91 |     94023.12 |    144 |    24.56 |      worst
     431 |     93994.91 |     94023.12 |    144 |    24.39 |     random
